sector,class,sub_class,fuel,year,pm10,pm2_5,co,nox,so2
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2018,352.86,264.65,4515.02,838.99,2114.44
Energy (combustion),Manufacturing industries and construction,NA,Lignite coal,2019,347.74,260.81,4449.52,826.82,2083.77
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2012,47.83,47.83,1432.29,3654.8,19.76
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2013,51.64,51.64,1546.3,3945.73,21.33
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2014,63.59,63.59,1904,4858.48,26.26
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2015,60.89,60.89,1823.11,4652.08,25.15
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2016,59.13,59.13,1770.48,4517.79,24.42
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2017,60.02,60.02,1797.27,4586.13,24.79
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2018,56.79,56.79,1700.41,4338.98,23.45
Energy (combustion),Manufacturing industries and construction,NA,Natural gas,2019,66.93,66.93,2004.18,5114.1,27.64
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2012,1.7,1.7,5.9,45.87,0.04
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2013,2.92,2.92,10.11,78.55,0.07
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2014,2.96,2.96,10.26,79.72,0.07
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2015,8.53,8.53,29.56,229.77,0.21
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2016,9.54,9.54,33.05,256.85,0.23
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2017,4.33,4.33,15,116.56,0.1
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2018,1.39,1.39,4.82,37.5,0.03
Energy (combustion),Manufacturing industries and construction,NA,Petrol,2019,1.57,1.57,5.43,42.17,0.04
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2012,621.09,465.81,11274.85,2095.11,5280.17
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2013,584.98,438.73,10619.4,1973.32,4973.21
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2014,624.74,468.56,11341.28,2107.46,5311.28
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2015,749.33,562,13602.89,2527.71,6370.42
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2016,680.57,510.43,12354.66,2295.76,5785.85
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2017,628.99,471.74,11418.34,2121.78,5347.36
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2018,774.73,581.05,14064,2613.4,6586.36
Energy (combustion),Manufacturing industries and construction,NA,Sub-bituminous coal,2019,786.36,589.77,14275.12,2652.63,6685.23
Energy (combustion),Manufacturing industries and construction,NA,Wood,2012,7017.95,6140.71,30201.77,4821.69,1006.73
Energy (combustion),Manufacturing industries and construction,NA,Wood,2013,6618.69,5791.35,28483.53,4547.37,949.45
Energy (combustion),Manufacturing industries and construction,NA,Wood,2014,6755.3,5910.88,29071.41,4641.23,969.05
Energy (combustion),Manufacturing industries and construction,NA,Wood,2015,6754.59,5910.27,29068.4,4640.74,968.95
Energy (combustion),Manufacturing industries and construction,NA,Wood,2016,6649.72,5818.5,28617.06,4568.69,953.9
Energy (combustion),Manufacturing industries and construction,NA,Wood,2017,6654.8,5822.95,28638.93,4572.18,954.63
Energy (combustion),Manufacturing industries and construction,NA,Wood,2018,6457.71,5650.5,27790.76,4436.77,926.36
Energy (combustion),Manufacturing industries and construction,NA,Wood,2019,6392.19,5593.17,27508.79,4391.75,916.96
Energy (combustion),Residential,NA,Bituminous coal,2012,40.06,35.26,302.76,4.4,26.81
Energy (combustion),Residential,NA,Bituminous coal,2013,7.74,6.81,58.47,0.85,5.18
Energy (combustion),Residential,NA,Bituminous coal,2014,8.01,7.05,60.53,0.88,5.36
Energy (combustion),Residential,NA,Bituminous coal,2015,6.77,5.96,51.17,0.74,4.53
Energy (combustion),Residential,NA,Bituminous coal,2016,5.53,4.87,41.8,0.61,3.7
Energy (combustion),Residential,NA,Bituminous coal,2017,4.49,3.95,33.9,0.49,3
Energy (combustion),Residential,NA,Bituminous coal,2018,11.02,9.7,83.31,1.21,7.38
Energy (combustion),Residential,NA,Bituminous coal,2019,3.18,2.8,24.03,0.35,2.13
Energy (combustion),Residential,NA,Diesel,2012,4.67,4.67,16.27,126.46,0.11
Energy (combustion),Residential,NA,Diesel,2013,8.52,8.52,29.71,230.97,0.21
Energy (combustion),Residential,NA,Diesel,2014,1.76,1.76,6.15,47.78,0.04
Energy (combustion),Residential,NA,Diesel,2015,1.91,1.91,6.68,51.89,0.05
Energy (combustion),Residential,NA,Diesel,2016,2.25,2.25,7.83,60.83,0.05
Energy (combustion),Residential,NA,Diesel,2017,2.44,2.44,8.51,66.13,0.06
Energy (combustion),Residential,NA,Fuel oil,2012,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2013,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2014,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2015,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2016,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2017,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2018,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Fuel oil,2019,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,LPG,2012,18.9,18.31,76.02,149.12,0.7
Energy (combustion),Residential,NA,LPG,2013,18.7,18.12,75.23,147.57,0.69
Energy (combustion),Residential,NA,LPG,2014,19.32,18.71,77.7,152.42,0.72
Energy (combustion),Residential,NA,LPG,2015,20.51,19.87,82.53,161.88,0.76
Energy (combustion),Residential,NA,LPG,2016,20.79,20.14,83.65,164.09,0.77
Energy (combustion),Residential,NA,LPG,2017,22.69,21.99,91.3,179.08,0.84
Energy (combustion),Residential,NA,LPG,2018,23.31,22.58,93.76,183.92,0.87
Energy (combustion),Residential,NA,LPG,2019,24.1,23.35,96.95,190.17,0.89
Energy (combustion),Residential,NA,Lignite coal,2012,275.26,242.23,1072.46,15.6,94.96
Energy (combustion),Residential,NA,Lignite coal,2013,179.09,157.6,697.77,10.15,61.78
Energy (combustion),Residential,NA,Lignite coal,2014,203.84,179.38,794.2,11.55,70.32
Energy (combustion),Residential,NA,Lignite coal,2015,268.41,236.2,1045.77,15.21,92.6
Energy (combustion),Residential,NA,Lignite coal,2016,208.56,183.53,812.57,11.82,71.95
Energy (combustion),Residential,NA,Lignite coal,2017,139.72,122.95,544.36,7.92,48.2
Energy (combustion),Residential,NA,Lignite coal,2018,36.33,31.97,141.56,2.06,12.53
Energy (combustion),Residential,NA,Lignite coal,2019,42.88,37.74,167.09,2.43,14.79
Energy (combustion),Residential,NA,Natural gas,2012,9.27,9.27,163.18,320.09,2.51
Energy (combustion),Residential,NA,Natural gas,2013,9.12,9.12,160.62,315.07,2.47
Energy (combustion),Residential,NA,Natural gas,2014,9.75,9.75,171.65,336.7,2.64
Energy (combustion),Residential,NA,Natural gas,2015,10.16,10.16,178.78,350.68,2.75
Energy (combustion),Residential,NA,Natural gas,2016,9.48,9.48,166.85,327.28,2.57
Energy (combustion),Residential,NA,Natural gas,2017,10.08,10.08,177.38,347.94,2.73
Energy (combustion),Residential,NA,Natural gas,2018,10.02,10.02,176.35,345.91,2.71
Energy (combustion),Residential,NA,Natural gas,2019,10.09,10.09,177.69,348.54,2.73
Energy (combustion),Residential,NA,Petrol,2012,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2013,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2014,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2015,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2016,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2017,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2018,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Petrol,2019,NA,NA,NA,NA,NA
Energy (combustion),Residential,NA,Sub-bituminous coal,2012,187.33,164.85,1035.52,15.06,91.69
Energy (combustion),Residential,NA,Sub-bituminous coal,2013,168.43,148.22,931.01,13.54,82.43
Energy (combustion),Residential,NA,Sub-bituminous coal,2014,163.66,144.02,904.68,13.16,80.1
Energy (combustion),Residential,NA,Sub-bituminous coal,2015,160.55,141.28,887.46,12.91,78.58
Energy (combustion),Residential,NA,Sub-bituminous coal,2016,161.19,141.84,890.97,12.96,78.89
Energy (combustion),Residential,NA,Sub-bituminous coal,2017,167.78,147.65,927.42,13.49,82.12
Energy (combustion),Residential,NA,Sub-bituminous coal,2018,248.03,218.26,1371.01,19.94,121.39
Energy (combustion),Residential,NA,Sub-bituminous coal,2019,211.12,185.79,1167.01,16.97,103.33
Energy (combustion),Residential,NA,Wood,2012,10817.52,10817.52,197194.32,704.27,281.71
Energy (combustion),Residential,NA,Wood,2013,10817.52,10817.52,197194.32,704.27,281.71
Energy (combustion),Residential,NA,Wood,2014,10801.41,10801.41,196900.72,703.22,281.29
Energy (combustion),Residential,NA,Wood,2015,10785.3,10785.3,196607.11,702.17,280.87
Energy (combustion),Residential,NA,Wood,2016,10769.2,10769.2,196313.51,701.12,280.45
Energy (combustion),Residential,NA,Wood,2017,10753.09,10753.09,196019.9,700.07,280.03
Energy (combustion),Residential,NA,Wood,2018,10736.99,10736.99,195726.3,699.02,279.61
Energy (combustion),Residential,NA,Wood,2019,10736.99,10736.99,195726.3,699.02,279.61
Transport,Aviation,Domestic (LTO),NA,2012,5.98,5.98,1350.68,1772.16,138.74
Transport,Aviation,Domestic (LTO),NA,2013,6.2,6.2,1329.78,1776.46,138.12
Transport,Aviation,Domestic (LTO),NA,2014,7,7,1372.01,1833.2,138.86
Transport,Aviation,Domestic (LTO),NA,2015,7.67,7.67,1424.56,1905.44,140.62
Transport,Aviation,Domestic (LTO),NA,2016,7.43,7.43,1367.18,1884.21,135.5
Transport,Aviation,Domestic (LTO),NA,2017,7.8,7.8,1415.7,1970.64,141.39
Transport,Aviation,Domestic (LTO),NA,2018,8.34,8.34,1502.85,2096.32,149.01
Transport,Aviation,Domestic (LTO),NA,2019,8.23,8.23,1497.99,2093.31,149.86
Transport,Aviation,International (LTO),NA,2012,3.92,3.92,468.71,824.88,38.86
Transport,Aviation,International (LTO),NA,2013,3.93,3.93,459.22,842.33,39.63
Transport,Aviation,International (LTO),NA,2014,4.17,4.17,471.89,879.57,41.82
Transport,Aviation,International (LTO),NA,2015,4.13,4.13,495.2,920.68,43.64
Transport,Aviation,International (LTO),NA,2016,4.46,4.46,532.74,1042.27,49.39
Transport,Aviation,International (LTO),NA,2017,4.59,4.59,539.4,1129.22,52.92
Transport,Aviation,International (LTO),NA,2018,4.81,4.81,569.88,1175.79,54.21
Transport,Aviation,International (LTO),NA,2019,4.71,4.71,580.53,1219.86,55.26
Transport,Railways,NA,Diesel,2012,246.45,231.59,542.36,2654.72,1.01
Transport,Railways,NA,Diesel,2013,237.49,223.17,522.64,2558.18,0.97
Transport,Railways,NA,Diesel,2014,229.59,215.75,505.25,2473.09,0.94
Transport,Railways,NA,Diesel,2015,223.48,210,491.79,2407.19,0.92
Transport,Railways,NA,Diesel,2016,209.24,196.62,460.47,2253.89,0.86
Transport,Railways,NA,Diesel,2017,180.03,169.17,396.18,1939.19,0.74
Transport,Railways,NA,Diesel,2018,195.54,183.74,430.31,2106.24,0.8
Transport,Railways,NA,Diesel,2019,204.52,192.19,450.08,2203.03,0.84
Transport,Road transportation,NA,Biodiesel,2012,16.24,16.24,48.47,168.67,0.17
Transport,Road transportation,NA,Biodiesel,2013,5.35,5.35,16.58,57.02,0.06
Transport,Road transportation,NA,Biodiesel,2014,5.92,5.92,19,64.09,0.07
Transport,Road transportation,NA,Biodiesel,2015,5.6,5.6,18.74,61.9,0.07
Transport,Road transportation,NA,Biodiesel,2016,4.42,4.42,15.07,49.57,0.06
Transport,Road transportation,NA,Biodiesel,2017,3.03,3.03,10.73,36.51,0.05
Transport,Road transportation,NA,Biodiesel,2018,3.65,3.65,13.26,46.65,0.06
Transport,Road transportation,NA,Biodiesel,2019,4.66,4.66,17.43,63.53,0.08
Transport,Road transportation,NA,Diesel,2012,3546.49,3546.49,10587.09,36843.02,37.4
Transport,Road transportation,NA,Diesel,2013,3315.27,3315.27,10272.5,35336.29,37.61
Transport,Road transportation,NA,Diesel,2014,3248.21,3248.21,10430.18,35192.25,39.31
Transport,Road transportation,NA,Diesel,2015,3125.31,3125.31,10452.83,34517.67,40.67
Transport,Road transportation,NA,Diesel,2016,3011.56,3011.56,10278.43,33810.77,41.41
Transport,Road transportation,NA,Diesel,2017,3050.85,3050.85,10793.19,36742.42,46.12
Transport,Road transportation,NA,Diesel,2018,2945.5,2945.5,10697.54,37635.08,48.26
Transport,Road transportation,NA,Diesel,2019,2701.45,2701.45,10105.47,36841.26,48.16
Transport,Road transportation,NA,LPG,2012,2.39,2.39,979.09,287.04,0.1
Transport,Road transportation,NA,LPG,2013,1.89,1.89,780.29,228.75,0.08
Transport,Road transportation,NA,LPG,2014,2.34,2.34,977.43,286.55,0.09
Transport,Road transportation,NA,LPG,2015,2.23,2.23,939.52,275.44,0.09
Transport,Road transportation,NA,LPG,2016,1.82,1.82,772.94,226.6,0.08
Transport,Road transportation,NA,LPG,2017,1.39,1.39,593.48,173.99,0.06
Transport,Road transportation,NA,LPG,2018,0.77,0.77,328.05,96.17,0.03
Transport,Road transportation,NA,LPG,2019,0.79,0.79,339.21,99.44,0.03
Transport,Road transportation,NA,Natural gas,2012,0.21,0.21,86.29,25.3,0.01
Transport,Road transportation,NA,Natural gas,2013,0.04,0.04,18.28,5.36,0
Transport,Road transportation,NA,Natural gas,2014,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Natural gas,2015,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Natural gas,2016,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Natural gas,2017,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Natural gas,2018,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Natural gas,2019,NA,NA,NA,NA,NA
Transport,Road transportation,NA,Petrol,2012,663.8,663.8,169336.96,17824,48.02
Transport,Road transportation,NA,Petrol,2013,652.91,652.91,153941.01,16073.13,47.55
Transport,Road transportation,NA,Petrol,2014,653.62,653.62,140768.96,14612.46,48.1
Transport,Road transportation,NA,Petrol,2015,666.14,666.14,129084.7,13350.71,49.5
Transport,Road transportation,NA,Petrol,2016,675.01,675.01,118269.22,12120.66,50.55
Transport,Road transportation,NA,Petrol,2017,686.84,686.84,108079.29,10988.91,51.75
Transport,Road transportation,NA,Petrol,2018,678.1,678.1,94327.34,9474.34,51.33
Transport,Road transportation,NA,Petrol,2019,676.73,676.73,84535.73,8459.37,51.25
Transport,Shipping,NA,Fuel oil,2012,564.44,509.81,735.46,7886.2,6894.93
Transport,Shipping,NA,Fuel oil,2013,750.29,677.68,977.62,10482.83,9165.17
Transport,Shipping,NA,Fuel oil,2014,710.8,642.02,926.17,9931.21,8682.88
Transport,Shipping,NA,Fuel oil,2015,827.51,747.43,1078.25,11561.83,10108.55
Transport,Shipping,NA,Fuel oil,2016,524.09,473.37,682.88,7322.42,6402.01
Transport,Shipping,NA,Fuel oil,2017,526.64,475.68,686.22,7358.17,6433.27
Transport,Shipping,NA,Fuel oil,2018,511.67,462.15,666.7,7148.94,6250.34
Transport,Shipping,NA,Fuel oil,2019,635.03,573.57,827.44,8872.47,7757.23
Construction (non-combustion),Non-residential buildings,NA,NA,2012,1038.12,103.81,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2013,1204.48,120.45,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2014,1372,137.2,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2015,1449.95,144.99,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2016,1153.47,115.35,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2017,1232.45,123.24,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2018,1491.63,149.16,NA,NA,NA
Construction (non-combustion),Non-residential buildings,NA,NA,2019,1454.53,145.45,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2012,158.96,15.9,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2013,192.25,19.23,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2014,210.25,21.03,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2015,213.48,21.35,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2016,239.01,23.9,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2017,234.1,23.41,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2018,228.71,22.87,NA,NA,NA
Construction (non-combustion),Residential houses,NA,NA,2019,232.24,23.22,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2012,92.69,9.27,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2013,124.01,12.4,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2014,173.58,17.36,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2015,215.36,21.54,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2016,249.53,24.95,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2017,277.34,27.73,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2018,326.63,32.66,NA,NA,NA
Construction (non-combustion),Residential other,NA,NA,2019,396.19,39.62,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2012,544.92,54.49,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2013,559.65,55.97,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2014,383.45,38.35,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2015,228.05,22.81,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2016,448.24,44.82,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2017,733.2,73.32,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2018,1020.09,102.01,NA,NA,NA
Construction (non-combustion),Road construction,NA,NA,2019,1392.61,139.26,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2012,8.92,4.82,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2013,9.17,4.95,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2014,9.52,5.14,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2015,9.81,5.3,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2016,10.29,5.56,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2017,10.96,5.92,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2018,11.6,6.26,NA,NA,NA
Road dust,Sealed roads,Buses,NA,2019,12.14,6.56,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2012,94.88,51.23,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2013,96.95,52.35,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2014,100.44,54.24,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2015,102.65,55.43,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2016,105.73,57.09,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2017,111.1,59.99,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2018,114.49,61.83,NA,NA,NA
Road dust,Sealed roads,Heavy trucks,NA,2019,116,62.64,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2012,45.78,24.72,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2013,47.7,25.76,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2014,50.38,27.2,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2015,53.65,28.97,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2016,57.91,31.27,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2017,62.46,33.73,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2018,66.84,36.1,NA,NA,NA
Road dust,Sealed roads,Light commercial,NA,2019,70.82,38.24,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2012,227.4,122.79,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2013,229.45,123.9,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2014,233.61,126.15,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2015,241.3,130.3,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2016,251.35,135.73,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2017,257.85,139.24,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2018,262.55,141.78,NA,NA,NA
Road dust,Sealed roads,Light passenger,NA,2019,262.6,141.81,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2012,1.13,0.61,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2013,1.15,0.62,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2014,1.17,0.63,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2015,1.2,0.65,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2016,1.24,0.67,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2017,1.25,0.68,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2018,1.26,0.68,NA,NA,NA
Road dust,Sealed roads,Motorcycles,NA,2019,1.25,0.68,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2012,15775.49,1550.44,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2013,16973.37,1668.16,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2014,16421.45,1613.92,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2015,15506.55,1524,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2016,15198.4,1493.72,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2017,15923.95,1565.03,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2018,15974.82,1570.02,NA,NA,NA
Road dust,Unsealed roads,NA,NA,2019,16792.21,1650.36,NA,NA,NA
Industrial (non-combustion),Metal industries,Aluminium production,NA,2012,633.31,542.84,38958.24,324.65,5547.6
Industrial (non-combustion),Metal industries,Aluminium production,NA,2013,632.82,542.41,38927.88,324.4,5543.27
Industrial (non-combustion),Metal industries,Aluminium production,NA,2014,638.08,546.92,39251.64,327.1,5589.38
Industrial (non-combustion),Metal industries,Aluminium production,NA,2015,650.17,557.29,39995.16,333.29,5695.25
Industrial (non-combustion),Metal industries,Aluminium production,NA,2016,660.58,566.21,40635.96,338.63,5786.5
Industrial (non-combustion),Metal industries,Aluminium production,NA,2017,656.89,563.05,40408.92,336.74,5754.17
Industrial (non-combustion),Metal industries,Aluminium production,NA,2018,664.57,569.63,40881.36,340.68,5821.44
Industrial (non-combustion),Metal industries,Aluminium production,NA,2019,685.65,587.7,42177.72,351.48,6006.04
Industrial (non-combustion),Metal industries,Lead production,NA,2012,0.14,0.07,NA,NA,45
Industrial (non-combustion),Metal industries,Lead production,NA,2013,0.14,0.07,NA,NA,45
Industrial (non-combustion),Metal industries,Lead production,NA,2014,0.14,0.07,NA,NA,45
Industrial (non-combustion),Metal industries,Lead production,NA,2015,0.14,0.07,NA,NA,45
Industrial (non-combustion),Metal industries,Steel production,NA,2012,240.4,227.85,2116.29,1639.35,894.98
Industrial (non-combustion),Metal industries,Steel production,NA,2013,244.7,231.93,2154.19,1668.71,911.01
Industrial (non-combustion),Metal industries,Steel production,NA,2014,243.99,231.25,2147.87,1663.82,908.34
Industrial (non-combustion),Metal industries,Steel production,NA,2015,243.27,230.57,2141.55,1658.92,905.67
Industrial (non-combustion),Metal industries,Steel production,NA,2016,240.4,227.85,2116.29,1639.35,894.98
Industrial (non-combustion),Metal industries,Steel production,NA,2017,245.06,232.27,2157.35,1671.16,912.35
Industrial (non-combustion),Metal industries,Steel production,NA,2018,243.63,230.91,2144.71,1661.37,907
Industrial (non-combustion),Metal industries,Steel production,NA,2019,241.12,228.53,2122.6,1644.24,897.65
Industrial (non-combustion),Mineral products,Mineral products,NA,2012,136.85,65.92,NA,NA,892.22
Industrial (non-combustion),Mineral products,Mineral products,NA,2013,152.71,72.48,NA,NA,961.95
Industrial (non-combustion),Mineral products,Mineral products,NA,2014,168.86,78.82,NA,NA,984.05
Industrial (non-combustion),Mineral products,Mineral products,NA,2015,177.57,79.82,NA,NA,1013.04
Industrial (non-combustion),Mineral products,Mineral products,NA,2016,184.43,84.75,NA,NA,675.87
Industrial (non-combustion),Mineral products,Mineral products,NA,2017,180.6,86.7,NA,NA,562.95
Industrial (non-combustion),Mineral products,Mineral products,NA,2018,162.42,79.86,NA,NA,524.85
Industrial (non-combustion),Mineral products,Mineral products,NA,2019,165.88,81.69,NA,NA,510.73
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2012,NA,NA,11.36,113.6,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2013,NA,NA,12.93,129.35,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2014,NA,NA,15.56,155.62,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2015,NA,NA,13.71,137.09,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2016,NA,NA,12.62,126.21,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2017,NA,NA,14.78,147.81,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2018,NA,NA,15.45,154.49,NA
Industrial (non-combustion),Production of chemicals,Ammonia production,NA,2019,NA,NA,13.01,130.11,NA
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2012,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2013,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2014,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2015,104.7,82.84,NA,NA,1821.74
Waste,Waste incineration,NA,NA,2014,0.04,0.02,0.37,4.66,0.25
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2016,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2017,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2018,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Fertiliser production,NA,2019,104.7,82.84,NA,NA,1821.74
Industrial (non-combustion),Production of chemicals,Urea production,NA,2012,53.58,42.39,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2013,61.38,48.56,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2014,74.18,58.69,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2015,65.31,51.68,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2016,60.16,47.6,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2017,70.38,55.68,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2018,73.55,58.2,NA,NA,NA
Industrial (non-combustion),Production of chemicals,Urea production,NA,2019,61.94,49.01,NA,NA,NA
Industrial (non-combustion),Pulp and paper production,Pulp production,NA,2012,1213.58,910.19,0,1516.98,3033.96
